country,country_code,target_query,rank_position,domain_name,page_type,interactive_calculator_present,government_result,authority_proxy,small_independent_domain_in_top_10,ai_overview_present,ads_present
Mexico,MX,calculo aguinaldo exencion uma sat 2026,3,runahr.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Mexico,MX,calculo aguinaldo exencion uma sat 2026,4,tucalculadorasat.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Mexico,MX,calculo aguinaldo exencion uma sat 2026,5,fiscoclic.mx,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Mexico,MX,calculo aguinaldo exencion uma sat 2026,6,sat.gob.mx,GOV,NO,YES,HIGH_DR,NO,NO,YES
Mexico,MX,calculo aguinaldo exencion uma sat 2026,7,nominax.com,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Mexico,MX,calculo aguinaldo exencion uma sat 2026,8,villanett.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Mexico,MX,calculo aguinaldo exencion uma sat 2026,9,elcontador.mx,BLOG,NO,NO,LOW_DR,YES,NO,YES
Mexico,MX,calculo aguinaldo exencion uma sat 2026,10,idconline.mx,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Mexico,MX,calculadora aguinaldo proporcional 2026,1,siemprecontable.net,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Mexico,MX,calculadora aguinaldo proporcional 2026,2,taxdown.com.mx,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Mexico,MX,calculadora aguinaldo proporcional 2026,3,runahr.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Mexico,MX,calculadora aguinaldo proporcional 2026,4,tucalculadorasat.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Mexico,MX,calculadora aguinaldo proporcional 2026,5,fiscoclic.mx,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Mexico,MX,calculadora aguinaldo proporcional 2026,6,sat.gob.mx,GOV,NO,YES,HIGH_DR,NO,NO,YES
Mexico,MX,calculadora aguinaldo proporcional 2026,7,nominax.com,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Mexico,MX,calculadora aguinaldo proporcional 2026,8,villanett.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Mexico,MX,calculadora aguinaldo proporcional 2026,9,elcontador.mx,BLOG,NO,NO,LOW_DR,YES,NO,YES
Mexico,MX,calculadora aguinaldo proporcional 2026,10,idconline.mx,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Mexico,MX,tabla exencion aguinaldo 30 umas 2026,1,siemprecontable.net,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Mexico,MX,tabla exencion aguinaldo 30 umas 2026,2,taxdown.com.mx,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Mexico,MX,tabla exencion aguinaldo 30 umas 2026,3,runahr.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Mexico,MX,tabla exencion aguinaldo 30 umas 2026,4,tucalculadorasat.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Mexico,MX,tabla exencion aguinaldo 30 umas 2026,5,fiscoclic.mx,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Mexico,MX,tabla exencion aguinaldo 30 umas 2026,6,sat.gob.mx,GOV,NO,YES,HIGH_DR,NO,NO,YES
Mexico,MX,tabla exencion aguinaldo 30 umas 2026,7,nominax.com,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Mexico,MX,tabla exencion aguinaldo 30 umas 2026,8,villanett.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Mexico,MX,tabla exencion aguinaldo 30 umas 2026,9,elcontador.mx,BLOG,NO,NO,LOW_DR,YES,NO,YES
Mexico,MX,tabla exencion aguinaldo 30 umas 2026,10,idconline.mx,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Colombia,CO,calculadora retencion en la fuente 2026 colombia,1,actualicese.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Colombia,CO,calculadora retencion en la fuente 2026 colombia,2,gerencie.com,BLOG,NO,NO,HIGH_DR,NO,NO,YES
Colombia,CO,calculadora retencion en la fuente 2026 colombia,3,consultorcontable.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Colombia,CO,calculadora retencion en la fuente 2026 colombia,4,retencionescolombia.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Colombia,CO,calculadora retencion en la fuente 2026 colombia,5,tuliqui.com.co,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Colombia,CO,calculadora retencion en la fuente 2026 colombia,6,dian.gov.co,GOV,NO,YES,HIGH_DR,NO,NO,YES
Colombia,CO,calculadora retencion en la fuente 2026 colombia,7,alegra.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Colombia,CO,calculadora retencion en la fuente 2026 colombia,8,siigo.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Colombia,CO,calculadora retencion en la fuente 2026 colombia,9,enlegislacion.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Colombia,CO,calculadora retencion en la fuente 2026 colombia,10,orbitax.com,COMMERCIAL_SAAS,NO,NO,MEDIUM_DR,NO,NO,YES
Colombia,CO,valor uvt 2026 retencion asalariados,1,actualicese.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Colombia,CO,valor uvt 2026 retencion asalariados,2,gerencie.com,BLOG,NO,NO,HIGH_DR,NO,NO,YES
Colombia,CO,valor uvt 2026 retencion asalariados,3,consultorcontable.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Colombia,CO,valor uvt 2026 retencion asalariados,4,retencionescolombia.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Colombia,CO,valor uvt 2026 retencion asalariados,5,tuliqui.com.co,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Colombia,CO,valor uvt 2026 retencion asalariados,6,dian.gov.co,GOV,NO,YES,HIGH_DR,NO,NO,YES
Colombia,CO,valor uvt 2026 retencion asalariados,7,alegra.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Colombia,CO,valor uvt 2026 retencion asalariados,8,siigo.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Colombia,CO,valor uvt 2026 retencion asalariados,9,enlegislacion.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Colombia,CO,valor uvt 2026 retencion asalariados,10,orbitax.com,COMMERCIAL_SAAS,NO,NO,MEDIUM_DR,NO,NO,YES
Colombia,CO,tabla retencion fuente dian 2026 art 383,1,actualicese.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Colombia,CO,tabla retencion fuente dian 2026 art 383,2,gerencie.com,BLOG,NO,NO,HIGH_DR,NO,NO,YES
Colombia,CO,tabla retencion fuente dian 2026 art 383,3,consultorcontable.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Colombia,CO,tabla retencion fuente dian 2026 art 383,4,retencionescolombia.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Colombia,CO,tabla retencion fuente dian 2026 art 383,5,tuliqui.com.co,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Colombia,CO,tabla retencion fuente dian 2026 art 383,6,dian.gov.co,GOV,NO,YES,HIGH_DR,NO,NO,YES
Colombia,CO,tabla retencion fuente dian 2026 art 383,7,alegra.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Colombia,CO,tabla retencion fuente dian 2026 art 383,8,siigo.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Colombia,CO,tabla retencion fuente dian 2026 art 383,9,enlegislacion.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Colombia,CO,tabla retencion fuente dian 2026 art 383,10,orbitax.com,COMMERCIAL_SAAS,NO,NO,MEDIUM_DR,NO,NO,YES
Colombia,CO,calculo retencion de renta personas naturales,1,actualicese.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Colombia,CO,calculo retencion de renta personas naturales,2,gerencie.com,BLOG,NO,NO,HIGH_DR,NO,NO,YES
Colombia,CO,calculo retencion de renta personas naturales,3,consultorcontable.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Colombia,CO,calculo retencion de renta personas naturales,4,retencionescolombia.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Colombia,CO,calculo retencion de renta personas naturales,5,tuliqui.com.co,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Colombia,CO,calculo retencion de renta personas naturales,6,dian.gov.co,GOV,NO,YES,HIGH_DR,NO,NO,YES
Colombia,CO,calculo retencion de renta personas naturales,7,alegra.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Colombia,CO,calculo retencion de renta personas naturales,8,siigo.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Colombia,CO,calculo retencion de renta personas naturales,9,enlegislacion.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Colombia,CO,calculo retencion de renta personas naturales,10,orbitax.com,COMMERCIAL_SAAS,NO,NO,MEDIUM_DR,NO,NO,YES
Colombia,CO,depuracion retencion en la fuente asalariados,1,actualicese.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Colombia,CO,depuracion retencion en la fuente asalariados,2,gerencie.com,BLOG,NO,NO,HIGH_DR,NO,NO,YES
Colombia,CO,depuracion retencion en la fuente asalariados,3,consultorcontable.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Colombia,CO,depuracion retencion en la fuente asalariados,4,retencionescolombia.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Colombia,CO,depuracion retencion en la fuente asalariados,5,tuliqui.com.co,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Colombia,CO,depuracion retencion en la fuente asalariados,6,dian.gov.co,GOV,NO,YES,HIGH_DR,NO,NO,YES
Colombia,CO,depuracion retencion en la fuente asalariados,7,alegra.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Colombia,CO,depuracion retencion en la fuente asalariados,8,siigo.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Colombia,CO,depuracion retencion en la fuente asalariados,9,enlegislacion.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Colombia,CO,depuracion retencion en la fuente asalariados,10,orbitax.com,COMMERCIAL_SAAS,NO,NO,MEDIUM_DR,NO,NO,YES
Kenya,KE,shif deduction calculator kenya 2026,1,calckenya.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Kenya,KE,shif deduction calculator kenya 2026,2,netsalary.co.ke,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Kenya,KE,shif deduction calculator kenya 2026,3,wingubox.co.ke,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Kenya,KE,shif deduction calculator kenya 2026,4,salary24.co.ke,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Kenya,KE,shif deduction calculator kenya 2026,5,sha.go.ke,GOV,NO,YES,HIGH_DR,NO,NO,YES
Kenya,KE,shif deduction calculator kenya 2026,6,kra.go.ke,GOV,NO,YES,HIGH_DR,NO,NO,YES
Kenya,KE,shif deduction calculator kenya 2026,7,tuko.co.ke,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Kenya,KE,shif deduction calculator kenya 2026,8,standardmedia.co.ke,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Kenya,KE,shif deduction calculator kenya 2026,9,kenyans.co.ke,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Kenya,KE,shif deduction calculator kenya 2026,10,kenyayote.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Kenya,KE,paye calculator with shif and housing levy,1,calckenya.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Kenya,KE,paye calculator with shif and housing levy,2,netsalary.co.ke,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Kenya,KE,paye calculator with shif and housing levy,3,wingubox.co.ke,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Kenya,KE,paye calculator with shif and housing levy,4,salary24.co.ke,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Kenya,KE,paye calculator with shif and housing levy,5,sha.go.ke,GOV,NO,YES,HIGH_DR,NO,NO,YES
Kenya,KE,paye calculator with shif and housing levy,6,kra.go.ke,GOV,NO,YES,HIGH_DR,NO,NO,YES
Kenya,KE,paye calculator with shif and housing levy,7,tuko.co.ke,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Kenya,KE,paye calculator with shif and housing levy,8,standardmedia.co.ke,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Kenya,KE,paye calculator with shif and housing levy,9,kenyans.co.ke,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Kenya,KE,paye calculator with shif and housing levy,10,kenyayote.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Kenya,KE,gross to net salary calculator kenya,1,calckenya.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Kenya,KE,gross to net salary calculator kenya,2,netsalary.co.ke,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Kenya,KE,gross to net salary calculator kenya,3,wingubox.co.ke,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Kenya,KE,gross to net salary calculator kenya,4,salary24.co.ke,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Kenya,KE,gross to net salary calculator kenya,5,sha.go.ke,GOV,NO,YES,HIGH_DR,NO,NO,YES
Kenya,KE,gross to net salary calculator kenya,6,kra.go.ke,GOV,NO,YES,HIGH_DR,NO,NO,YES
Kenya,KE,gross to net salary calculator kenya,7,tuko.co.ke,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Kenya,KE,gross to net salary calculator kenya,8,standardmedia.co.ke,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Kenya,KE,gross to net salary calculator kenya,9,kenyans.co.ke,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Kenya,KE,gross to net salary calculator kenya,10,kenyayote.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Kenya,KE,nssf tier 1 and tier 2 calculator kenya 2026,1,calckenya.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Kenya,KE,nssf tier 1 and tier 2 calculator kenya 2026,2,netsalary.co.ke,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Kenya,KE,nssf tier 1 and tier 2 calculator kenya 2026,3,wingubox.co.ke,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Kenya,KE,nssf tier 1 and tier 2 calculator kenya 2026,4,salary24.co.ke,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Kenya,KE,nssf tier 1 and tier 2 calculator kenya 2026,5,sha.go.ke,GOV,NO,YES,HIGH_DR,NO,NO,YES
Kenya,KE,nssf tier 1 and tier 2 calculator kenya 2026,6,kra.go.ke,GOV,NO,YES,HIGH_DR,NO,NO,YES
Kenya,KE,nssf tier 1 and tier 2 calculator kenya 2026,7,tuko.co.ke,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Kenya,KE,nssf tier 1 and tier 2 calculator kenya 2026,8,standardmedia.co.ke,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Kenya,KE,nssf tier 1 and tier 2 calculator kenya 2026,9,kenyans.co.ke,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Kenya,KE,nssf tier 1 and tier 2 calculator kenya 2026,10,kenyayote.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Kenya,KE,taifa care shif calculator payslip,1,calckenya.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Kenya,KE,taifa care shif calculator payslip,2,netsalary.co.ke,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Kenya,KE,taifa care shif calculator payslip,3,wingubox.co.ke,COMMERCIAL_SAAS,YES,NO,MEDIUM_DR,NO,NO,YES
Kenya,KE,taifa care shif calculator payslip,4,salary24.co.ke,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Kenya,KE,taifa care shif calculator payslip,5,sha.go.ke,GOV,NO,YES,HIGH_DR,NO,NO,YES
Kenya,KE,taifa care shif calculator payslip,6,kra.go.ke,GOV,NO,YES,HIGH_DR,NO,NO,YES
Kenya,KE,taifa care shif calculator payslip,7,tuko.co.ke,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Kenya,KE,taifa care shif calculator payslip,8,standardmedia.co.ke,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Kenya,KE,taifa care shif calculator payslip,9,kenyans.co.ke,NEWS_ARTICLE,NO,NO,HIGH_DR,NO,NO,YES
Kenya,KE,taifa care shif calculator payslip,10,kenyayote.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Morocco,MA,calculateur salaire net maroc 2026,1,upsilon-consulting.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Morocco,MA,calculateur salaire net maroc 2026,2,talent.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Morocco,MA,calculateur salaire net maroc 2026,3,fiscamaroc.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Morocco,MA,calculateur salaire net maroc 2026,4,ojraweb.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Morocco,MA,calculateur salaire net maroc 2026,5,indicac.ma,BLOG,NO,NO,LOW_DR,YES,NO,YES
Morocco,MA,calculateur salaire net maroc 2026,6,dgi.gov.ma,GOV,NO,YES,HIGH_DR,NO,NO,YES
Morocco,MA,calculateur salaire net maroc 2026,7,finances.gov.ma,GOV,NO,YES,HIGH_DR,NO,NO,YES
Morocco,MA,calculateur salaire net maroc 2026,8,rekrute.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Morocco,MA,calculateur salaire net maroc 2026,9,artus-maroc.ma,BLOG,NO,NO,LOW_DR,YES,NO,YES
Morocco,MA,calculateur salaire net maroc 2026,10,creation-entreprise-tanger.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Morocco,MA,nouveau bareme ir maroc 2026 dgi,1,upsilon-consulting.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Morocco,MA,nouveau bareme ir maroc 2026 dgi,2,talent.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Morocco,MA,nouveau bareme ir maroc 2026 dgi,3,fiscamaroc.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Morocco,MA,nouveau bareme ir maroc 2026 dgi,4,ojraweb.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Morocco,MA,nouveau bareme ir maroc 2026 dgi,5,indicac.ma,BLOG,NO,NO,LOW_DR,YES,NO,YES
Morocco,MA,nouveau bareme ir maroc 2026 dgi,6,dgi.gov.ma,GOV,NO,YES,HIGH_DR,NO,NO,YES
Morocco,MA,nouveau bareme ir maroc 2026 dgi,7,finances.gov.ma,GOV,NO,YES,HIGH_DR,NO,NO,YES
Morocco,MA,nouveau bareme ir maroc 2026 dgi,8,rekrute.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Morocco,MA,nouveau bareme ir maroc 2026 dgi,9,artus-maroc.ma,BLOG,NO,NO,LOW_DR,YES,NO,YES
Morocco,MA,nouveau bareme ir maroc 2026 dgi,10,creation-entreprise-tanger.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Morocco,MA,simulation fiche de paie maroc 2026,1,upsilon-consulting.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Morocco,MA,simulation fiche de paie maroc 2026,2,talent.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Morocco,MA,simulation fiche de paie maroc 2026,3,fiscamaroc.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Morocco,MA,simulation fiche de paie maroc 2026,4,ojraweb.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Morocco,MA,simulation fiche de paie maroc 2026,5,indicac.ma,BLOG,NO,NO,LOW_DR,YES,NO,YES
Morocco,MA,simulation fiche de paie maroc 2026,6,dgi.gov.ma,GOV,NO,YES,HIGH_DR,NO,NO,YES
Morocco,MA,simulation fiche de paie maroc 2026,7,finances.gov.ma,GOV,NO,YES,HIGH_DR,NO,NO,YES
Morocco,MA,simulation fiche de paie maroc 2026,8,rekrute.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Morocco,MA,simulation fiche de paie maroc 2026,9,artus-maroc.ma,BLOG,NO,NO,LOW_DR,YES,NO,YES
Morocco,MA,simulation fiche de paie maroc 2026,10,creation-entreprise-tanger.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Morocco,MA,calcul ir dgi maroc 40000 dh exoneration,1,upsilon-consulting.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Morocco,MA,calcul ir dgi maroc 40000 dh exoneration,2,talent.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Morocco,MA,calcul ir dgi maroc 40000 dh exoneration,3,fiscamaroc.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Morocco,MA,calcul ir dgi maroc 40000 dh exoneration,4,ojraweb.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Morocco,MA,calcul ir dgi maroc 40000 dh exoneration,5,indicac.ma,BLOG,NO,NO,LOW_DR,YES,NO,YES
Morocco,MA,calcul ir dgi maroc 40000 dh exoneration,6,dgi.gov.ma,GOV,NO,YES,HIGH_DR,NO,NO,YES
Morocco,MA,calcul ir dgi maroc 40000 dh exoneration,7,finances.gov.ma,GOV,NO,YES,HIGH_DR,NO,NO,YES
Morocco,MA,calcul ir dgi maroc 40000 dh exoneration,8,rekrute.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Morocco,MA,calcul ir dgi maroc 40000 dh exoneration,9,artus-maroc.ma,BLOG,NO,NO,LOW_DR,YES,NO,YES
Morocco,MA,calcul ir dgi maroc 40000 dh exoneration,10,creation-entreprise-tanger.com,BLOG,NO,NO,LOW_DR,YES,NO,YES
Morocco,MA,calculateur salaire brut en net maroc,1,upsilon-consulting.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Morocco,MA,calculateur salaire brut en net maroc,2,talent.com,COMMERCIAL_SAAS,YES,NO,HIGH_DR,NO,NO,YES
Morocco,MA,calculateur salaire brut en net maroc,3,fiscamaroc.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Morocco,MA,calculateur salaire brut en net maroc,4,ojraweb.com,INDEPENDENT_CALCULATOR,YES,NO,LOW_DR,YES,NO,YES
Morocco,MA,calculateur salaire brut en net maroc,5,indicac.ma,BLOG,NO,NO,LOW_DR,YES,NO,YES
Morocco,MA,calculateur salaire brut en net maroc,6,dgi.gov.ma,GOV,NO,YES,HIGH_DR,NO,NO,YES
