country,country_code,event_id,event_name,law_or_regulation_code,announcement_date,effective_date,search_category,affected_population_size,affected_population_type,user_problem_description,source_url
Brazil,BR,BR-EVT-018,Regulamentação de Apostas Esportivas (Bets) Lei 14.790/2026,Lei 14.790/2023 / Portaria SPA/MF 2025,2023-12-29,2026-01-01,tax,"15,000,000",Bettors & Platform Operators,Calculating 15% net annual winnings tax deduction for income tax return.,https://www.gov.br/fazenda/pt-br/assuntos/apostas-de-quota-fixa
Brazil,BR,BR-EVT-019,Nova Lei de Licitações (Lei 14.133/2021) Exigência Certidões 2026,Lei 14.133/2021,2021-04-01,2026-01-01,licensing,"1,000,000",B2B Government Suppliers,Issuing unified federal/state/municipal tax clearance certificates (CND) for public tenders.,https://www.gov.br/compras/pt-br
Brazil,BR,BR-EVT-020,Desenrola Brasil Fase 2 Regularização de Crédito 2026,Portaria MF 1.200/2025,2025-09-01,2026-03-31,banking/payments,"10,000,000",Indebted Individuals,Renegotiating consumer debts with up to 90% discount via Gov.br portal.,https://desenrola.gov.br
Mexico,MX,MX-EVT-001,CFDI Nómina 1.2 & Aguinaldo Exención UMA 2026,RMF 2026 / LISR Art 93,2025-12-28,2026-01-01,payroll,"22,000,000",Formal Workers & Payroll HR,"Calculating ISR exemption on Aguinaldo (30 UMA limit = $3,519.30 MXN).",https://www.sat.gob.mx
Mexico,MX,MX-EVT-002,Tablas ISR 2026 & Recargos SAT 2.07%,LIF 2026 / CFF Art 21,2025-11-25,2026-01-01,tax,"30,000,000",Taxpayers & Accountants,Determining monthly progressive ISR brackets and monthly delay interest rate.,https://www.sat.gob.mx
Mexico,MX,MX-EVT-003,CURP Biométrica Obligatoria Registro 2026,Ley General de Población 2025,2025-07-10,2026-02-01,digital identity,"80,000,000",General Population,"Finding biometric registration modules, booking RENAPO appointment, checking document list.",https://www.gob.mx/segob/renapo
Mexico,MX,MX-EVT-004,Salario Mínimo 2026 ($315.04) & Cuotas IMSS Patronales,CONASAMI Res. 2025,2025-12-01,2026-01-01,payroll,"18,000,000",Employers & HR Specialists,Calculating employer IMSS contributions with increased employer Cesantía rate.,https://www.gob.mx/conasami
Mexico,MX,MX-EVT-005,Regularización Vehículos Extranjeros (Autos Chocolate) 2026,Decreto REPUVE 2026,2025-12-30,2026-01-01,vehicle,"3,000,000",Car Owners Northern Mexico,"Checking VIN eligibility, REPUVE appointment slots, and $2,500 MXN payment receipt.",https://www.gob.mx/sesnsp
Mexico,MX,MX-EVT-006,RESICO Límites de Ingresos y Retención 1.25% SAT 2026,LISR Art 113-E,2025-12-15,2026-01-01,SME reporting,"3,500,000",Small Business Owners & Freelancers,Verifying 3.5M MXN income cap for RESICO physical persons and corporate 1.25% withholding.,https://www.sat.gob.mx
Mexico,MX,MX-EVT-007,Verificación Vehicular CDMX / Edomex Calendario 2026,NOM-167-SEMARNAT-2024,2025-12-20,2026-01-15,vehicle,"6,500,000",Vehicle Owners,Booking inspection appointment and checking hologram zero/doble zero eligibility.,https://sedema.cdmx.gob.mx
Mexico,MX,MX-EVT-008,Descuento Impuesto Predial CDMX / Jalisco / NL 2026,Leyes de Ingresos Municipales 2026,2025-12-28,2026-01-01,property,"12,000,000",Property Owners,Calculating early payment discount (8% January / 5% February) and online payment portal.,https://finanzas.cdmx.gob.mx
Mexico,MX,MX-EVT-009,Declaración Anual Personas Físicas SAT 2026,LISR Art 150,2026-03-15,2026-04-01,income tax,"14,000,000",Taxpayers with multiple income sources,Deducting medical/educational expenses and tracking automatic tax refund (saldo a favor).,https://www.sat.gob.mx
Mexico,MX,MX-EVT-010,Infonavit Conversión VSM a Pesos & Reestructuración 2026,Ley Infonavit Art 44,2025-10-01,2026-01-01,banking/payments,"4,000,000",Mortgage Borrowers,Converting debt from VSM (times minimum wage) to fixed pesos to avoid annual indexation.,https://micuenta.infonavit.org.mx
Mexico,MX,MX-EVT-011,Modalidad 40 IMSS Incremento de Cuota 2026 (13.25%),Ley del Seguro Social Art 218,2020-12-16,2026-01-01,pensions,"1,500,000",Workers under Ley 73,Calculating monthly voluntary contribution cost based on 13.25% of registered salary.,https://www.imss.gob.mx
Mexico,MX,MX-EVT-012,Fila Virtual SAT & Citas Renovación e.firma 2026,RMF 2026 Regla 2.2.1,2025-11-01,2026-01-01,mandatory registration,"10,000,000",All Taxpayers,Monitoring appointment slot assignment on Fila Virtual and remote e.firma renewal.,https://citas.sat.gob.mx
Mexico,MX,MX-EVT-013,Reparto de Utilidades (PTU) Tope 3 Meses 2026,LFT Art 127 Frac VIII,2021-04-23,2026-05-01,employment,"15,000,000",Private Sector Employees,Calculating PTU payout capped at 3 months salary or 3-year average PTU.,https://www.gob.mx/stps
Mexico,MX,MX-EVT-014,CFDI Complemento Carta Porte 3.1 Obligatoriedad 2026,RMF 2026 Regla 2.7.7,2024-11-01,2026-01-01,customs/import,"2,000,000",Freight Transporters & Logistics SMEs,Generating mandatory electronic shipping manifest for transport over federal highways.,https://www.sat.gob.mx
Mexico,MX,MX-EVT-015,Licencia de Conducir Permanente CDMX Trámite 2026,Ley de Movilidad CDMX 2024,2024-11-15,2026-01-01,licensing,"2,500,000",Drivers in CDMX,"Booking exam appointment and paying $1,500 MXN fee for permanent driving license.",https://semovi.cdmx.gob.mx
Mexico,MX,MX-EVT-016,Tabla Subsidio al Empleo Ajustada SAT 2026,Decreto Subsidio Empleo 2024/2026,2024-05-01,2026-01-01,payroll,"8,000,000",Low-wage Formal Workers,Calculating monthly credit applied against ISR for workers earning up to 1.2 UMA.,https://www.sat.gob.mx
Mexico,MX,MX-EVT-017,Tenencia Vehicular Subsidio 100% CDMX / Edomex 2026,Ley de Ingresos CDMX Art 303,2025-12-28,2026-01-01,vehicle,"5,000,000",Car Owners,Obtaining 100% tenencia waiver by paying Refrendo fee before March 31.,https://finanzas.cdmx.gob.mx
Mexico,MX,MX-EVT-018,Renovación Padron REPSE STPS 3 Años 2026,LFT Art 15 / Acuerdo STPS 2021,2021-05-24,2026-05-24,licensing,"150,000",Subcontracting & Specialized Service Firms,Submitting 3-year mandatory renewal documentation on STPS portal.,https://repse.stps.gob.mx
Mexico,MX,MX-EVT-019,Ley Silla (Reforma LFT Art 132) Obligatoriedad 2026,Reforma LFT 2024/2025,2024-12-10,2026-01-01,employment,"6,000,000",Retail & Service Workers,Verifying commercial employer compliance with mandatory seating provision.,https://www.gob.mx/stps
Mexico,MX,MX-EVT-020,Pensión para el Bienestar Adultos Mayores Incremento 2026,Decreto Bienestar 2026,2025-12-10,2026-01-01,benefits,"12,000,000",Senior Citizens (65+),Checking bi-monthly payout schedule and Banco del Bienestar card activation.,https://www.gob.mx/bienestar
Colombia,CO,CO-EVT-001,Reducción Jornada Laboral a 42 Horas (Ley 2101) 2026,Ley 2101 de 2021,2021-07-15,2026-07-15,employment,"10,000,000",Formal Employees & Payroll Accountants,"Calculating hourly base rate increase, overtime surcharges, and Sunday pay under 42-hour workweek.",https://www.mintrabajo.gov.co
Colombia,CO,CO-EVT-002,Reforma Tributaria 2026 & Retención en la Fuente 95 UVT,Proyecto Reforma Tributaria 2026 / ET,2026-07-20,2026-01-01,income tax,"6,000,000",Salaried Workers & Independent Contractors,Calculating monthly withholding tax under new UVT $52.374 COP and progressive bracket limits.,https://www.dian.gov.co
Colombia,CO,CO-EVT-003,Documento POS Electrónico Limite 5 UVT ($261.870 COP),Resolución DIAN 000165/2023,2023-11-01,2026-01-01,e-invoicing,"1,500,000",SME Merchants & Retailers,Verifying invoice emission obligations for transactions over 5 UVT.,https://www.dian.gov.co
Colombia,CO,CO-EVT-004,Reforma Pensional Ley 2381 Transición Colpensiones 2026,Ley 2381 de 2024,2024-07-16,2026-07-01,pensions,"18,000,000",Workers & Pensioners,Simulating pension contributions under 2.3 SMMLV Colpensiones threshold vs private funds.,https://www.colpensiones.gov.co
Colombia,CO,CO-EVT-005,Impuesto de Vehículos & Tarifas SOAT 2026,Circular SuperFinanciera 2026,2025-12-28,2026-01-01,vehicle,"11,000,000",Vehicle Owners,Calculating vehicle tax based on commercial value and checking mandatory SOAT rates.,https://www.superfinanciera.gov.co
Colombia,CO,CO-EVT-006,Salario Mínimo 2026 & Auxilio de Transporte,Decreto Ajuste Salario Mínimo 2026,2025-12-30,2026-01-01,payroll,"11,000,000",Minimum Wage Workers & Employers,Calculating total minimum wage compensation package including transport allowance.,https://www.mintrabajo.gov.co
Colombia,CO,CO-EVT-007,Prima de Servicios (Junio / Diciembre 2026) Cálculo,Código Sustantivo del Trabajo Art 306,1950-01-01,2026-06-30,payroll,"10,000,000",Formal Employees,Calculating bi-annual bonus payment based on days worked in the semester.,https://www.mintrabajo.gov.co
Colombia,CO,CO-EVT-008,Régimen Simple de Tributación (RST) Tarifas DIAN 2026,Estatuto Tributario Art 903-916,2025-12-20,2026-01-01,SME reporting,"800,000",Small Businesses & Independent Professionals,Comparing RST unified rate vs ordinary income tax regime.,https://www.dian.gov.co
Colombia,CO,CO-EVT-009,Cédula Digital Colombia Autenticación Biométrica 2026,Resolución Registraduría 2024,2024-01-15,2026-01-01,digital identity,"25,000,000",General Citizens,"Ordering digital ID duplicate, setting up mobile app biometric facial validation.",https://www.registraduria.gov.co
Colombia,CO,CO-EVT-010,Declaración de Renta Personas Naturales DIAN 2026,Estatuto Tributario Art 592,2026-02-01,2026-08-10,income tax,"4,800,000",Taxpayers meeting income/asset threshold,Checking filing calendar by last digits of NIT and preparing cedular income return.,https://www.dian.gov.co
Colombia,CO,CO-EVT-011,Impuesto Predial Unificado Bogotá / Medellín / Cali 2026,Acuerdos Distritales de Impuestos 2026,2025-12-28,2026-01-01,property,"8,000,000",Urban Property Owners,Obtaining 10% prompt payment discount and signing up for installment payments (SPAC).,https://www.haciendabogota.gov.co
Colombia,CO,CO-EVT-012,Cesantías e Intereses sobre Cesantías 12% Enero 2026,Ley 50 de 1990 Art 99,1990-12-28,2026-01-31,payroll,"9,500,000",Formal Employees,Verifying employer payment of 12% annual interest on accrued severance fund balance.,https://www.mintrabajo.gov.co
Colombia,CO,CO-EVT-013,Impuesto al Patrimonio 2026 (Umbral 72.000 UVT),Estatuto Tributario Art 292-3,2022-12-13,2026-01-01,income tax,"400,000",High-Net-Worth Individuals,Calculating progressive tax rate on net personal wealth exceeding ~3.7 Billion COP.,https://www.dian.gov.co
Colombia,CO,CO-EVT-014,Retención en la Fuente por Compras y Servicios DIAN 2026,Estatuto Tributario Art 401,2025-12-20,2026-01-01,tax,"2,000,000",Withholding Agents & Suppliers,Applying 2.5% vs 3.5% withholding rate on commercial service invoices.,https://www.dian.gov.co
Colombia,CO,CO-EVT-015,Consulta Afiliación RUAF / SISPRO EPS y Pensiones 2026,Resolución Minsalud 2024,2024-01-01,2026-01-01,benefits,"30,000,000",General Population,Verifying active healthcare EPS and pension fund status on single SISPRO portal.,https://ruaf.sispro.gov.co
Colombia,CO,CO-EVT-016,Sisbén IV Clasificación y Encuesta de Recategorización 2026,Decreto DNP 2024,2024-02-01,2026-01-01,benefits,"28,000,000",Vulnerable & Low-Income Families,"Requesting home re-survey to update Sisbén group (A, B, C, D) for housing subsidys.",https://www.sisben.gov.co
Colombia,CO,CO-EVT-017,Licencia de Conducción Renovación RUNT 2026,Ley 2161 de 2021,2021-11-26,2026-01-01,licensing,"4,500,000",Drivers,Booking CRC medical exam and renewing driving license on RUNT portal.,https://www.runt.gov.co
Colombia,CO,CO-EVT-018,Pasaporte Colombiano Expedición Citas Cancillería 2026,Resolución Cancillería 2025,2025-09-01,2026-01-01,immigration,"2,000,000",International Travelers,Booking appointment slot on Cancillería portal and paying $210.000 COP fee.,https://www.cancilleria.gov.co/pasaporte
Colombia,CO,CO-EVT-019,Factura Electrónica de Exportación de Servicios DIAN 2026,Estatuto Tributario Art 481,2024-01-01,2026-01-01,e-invoicing,"150,000",Exporters & Tech Freelancers,Issuing 0% VAT electronic invoice for remote service exports to foreign clients.,https://www.dian.gov.co
Colombia,CO,CO-EVT-020,Programa Mi Casa Ya Subsidio de Vivienda VIS 2026,Decreto MinVivienda 2025,2025-01-01,2026-01-01,property,"300,000",First-time Home Buyers,Checking mortgage interest rate hedge and 30 SMMLV down-payment grant eligibility.,https://www.minvivienda.gov.co
Nigeria,NG,NG-EVT-001,Nigeria Tax Act 2026 & NRS Small Business CIT Exemption,Nigeria Tax Act 2025 / NRS Act 2025,2025-06-26,2026-01-01,tax,"40,000,000",SMEs & Formal Workers,"Calculating paye tax rates, small business turnover exemption under ₦100M threshold.",https://nrs.gov.ng
Nigeria,NG,NG-EVT-002,New Withholding Tax (WHT) Regulations 2026 NRS,Withholding Tax Regulations 2024/2026,2024-07-01,2026-01-01,tax,"5,000,000",Business Owners & Vendors,Determining deduction rate at source for supplier invoices and contract payments.,https://nrs.gov.ng
Nigeria,NG,NG-EVT-003,Corporate Affairs Commission (CAC) Annual Returns Compliance,CAMA 2020 / CAC Notice 2026,2025-10-01,2026-01-01,mandatory registration,"3,500,000",Registered Companies & Business Names,"Checking CAC status (active vs inactive), calculating annual return late penalties.",https://www.cac.gov.ng
Nigeria,NG,NG-EVT-004,"National Minimum Wage (₦70,000) Net Pay & PAYE Impact",National Minimum Wage Act 2024,2024-07-29,2026-01-01,payroll,"15,000,000",Formal & Informal Workers,"Calculating net take-home salary after pension 8%, NHIA, and PAYE tax exemptions.",https://labour.gov.ng
Nigeria,NG,NG-EVT-005,PenCom Pension Rate Scale & 25% RSA Withdrawal Rules,Pension Reform Act 2014 / PenCom 2026,2024-01-01,2026-01-01,pensions,"10,000,000",RSA Account Holders,Calculating 25% disengagement equity withdrawal eligibility and employer 10%/employee 8% split.,https://www.pencom.gov.ng
Nigeria,NG,NG-EVT-006,Personal Income Tax (PIT) Rate Overhaul under NTA 2026,Nigeria Tax Act 2025 Sec 40,2025-06-26,2026-01-01,income tax,"20,000,000",Salaried Taxpayers,Determining consolidated relief allowance (CRA) changes and new progressive tax brackets.,https://nrs.gov.ng
Nigeria,NG,NG-EVT-007,National Identification Number (NIN) TaxPro Max Linkage,NIMC Act 2007 / NRS Circular 2025,2025-05-01,2026-01-01,digital identity,"70,000,000",Individual Taxpayers,Linking NIN to tax identification number (TIN) to avoid bank account freeze.,https://nimc.gov.ng
Nigeria,NG,NG-EVT-008,Value Added Tax (VAT 7.5%) Exemptions List 2026,Nigeria Tax Act 2025 VAT Schedule,2025-06-26,2026-01-01,VAT,"50,000,000",Consumers & Merchants,"Verifying zero-rated food products, educational materials, and medical supplies.",https://nrs.gov.ng
Nigeria,NG,NG-EVT-009,Lagos State Land Use Charge (LUC) 2026 Valuation,Lagos State LUC Law 2020/2026,2025-12-01,2026-01-01,property,"2,500,000",Property Owners in Lagos,Calculating commercial vs residential property charge and claiming 15% early payment discount.,https://landusecharge.lagosstate.gov.ng
Nigeria,NG,NG-EVT-010,Tax Clearance Certificate (TCC) Automated Filing 2026,NRS TaxPro Max Regulations 2026,2025-11-01,2026-01-01,tax,"4,000,000",Corporate Vendors & Tendering Firms,Generating instant 3-year TCC via TaxPro Max portal after annual return filing.,https://taxpromax.nrs.gov.ng
Nigeria,NG,NG-EVT-011,Vehicle License Renewal & Proof of Ownership (POC) 2026,Federal Road Safety Act / Joint Tax Board,2023-06-01,2026-01-01,vehicle,"12,000,000",Vehicle Owners,"Paying annual ₦1,000 POC verification fee and renewing vehicle license online.",https://mvraa.lagosstate.gov.ng
Nigeria,NG,NG-EVT-012,Customs Duty FX Import Exchange Rate CENCON 2026,Customs & Excise Management Act 2023,2024-02-01,2026-01-01,customs/import,"1,800,000",Importers & Customs Brokers,Checking weekly CBN official import duty FX rate for clearing sea/air cargo.,https://customs.gov.ng
Nigeria,NG,NG-EVT-013,National Health Insurance Authority (NHIA) Contribution 2026,NHIA Act 2022,2022-05-19,2026-01-01,benefits,"8,000,000",Formal Sector Employees,Calculating 5% employer / 1.5% employee mandatory health insurance premium.,https://nhia.gov.ng
Nigeria,NG,NG-EVT-014,LIRS e-Tax Portal Annual Employer Returns Deadline (Jan 31),Personal Income Tax Act Sec 41,2025-12-15,2026-01-31,payroll,"1,200,000",Employers in Lagos State,"Filing Form H1 annual employer tax return to avoid ₦500,000 institutional fine.",https://etax.lirs.net
Nigeria,NG,NG-EVT-015,Electronic Money Transfer Levy (EMTL N50) 2026,Finance Act 2020 / NTA 2025,2020-12-31,2026-01-01,banking/payments,"60,000,000",Bank Account Holders,"Understanding ₦50 duty charge on electronic bank transfers of ₦10,000 and above.",https://nrs.gov.ng
Nigeria,NG,NG-EVT-016,Expatriate Employment Levy (EEL) Compliance 2026,Ministry of Interior EEL Handbook 2024,2024-02-27,2026-01-01,employment,"150,000",Multinational Employers,"Paying $15,000 director / $10,000 worker annual levy for foreign employees.",https://eel.interior.gov.ng
Nigeria,NG,NG-EVT-017,International Passport Online Renewal (NIS Portal) 2026,Immigration Act 2015,2024-01-08,2026-01-01,immigration,"3,000,000",Passport Applicants,Applying for 32-page or 64-page enhanced passport online without physical queues.,https://passport.immigration.gov.ng
Nigeria,NG,NG-EVT-018,CBN Cybersecurity Levy Exemption List 2026,Cybercrime Act Amendment 2024,2024-05-06,2026-01-01,banking/payments,"45,000,000",Banking Customers,"Verifying exempt transaction types (salary payments, loan disbursements, cheque clearing).",https://www.cbn.gov.ng
Nigeria,NG,NG-EVT-019,Pioneer Status Incentive (PSI) 3-Year Tax Holiday 2026,Industrial Development Income Tax Relief Act,2024-01-01,2026-01-01,licensing,"50,000",Manufacturing & Tech Startups,Applying to NIPC for 3-year CIT tax exemption on eligible pioneer industries.,https://www.nipc.gov.ng
Nigeria,NG,NG-EVT-020,FRSC Drivers License Renewal 3-Year vs 5-Year 2026,Federal Road Safety Corps Act 2007,2024-01-01,2026-01-01,licensing,"5,000,000",Motorists,Booking capture appointment and paying statutory fee for 3-year or 5-year license.,https://newservices.frsc.gov.ng
Kenya,KE,KE-EVT-001,Social Health Insurance Fund (SHIF) 2.75% & Housing Levy,Social Health Insurance Act 2023 / Finance Act 2024,2023-11-20,2026-01-01,payroll,"5,500,000",Salaried & Self-Employed Workers,Calculating 2.75% gross salary SHIF contribution + 1.5% Housing Levy + PAYE net salary.,https://sha.go.ke
Kenya,KE,KE-EVT-002,KRA eTIMS Mandatory Invoicing for SMEs & Freelancers,Tax Procedures (eTIMS) Regulations 2024,2024-01-01,2026-01-01,e-invoicing,"2,500,000",Small Businesses & Freelancers,Generating eTIMS compliant electronic tax invoices via mobile app or portal.,https://etims.kra.go.ke
Kenya,KE,KE-EVT-003,NSSF Tier I & Tier II Pension Scales 2026,NSSF Act No. 45 of 2013 / Phase 4 Rates,2023-02-01,2026-02-01,pensions,"4,000,000",Employers & Employees,Calculating Tier I (KES 420) and Tier II maximum contributions based on lower/upper earnings limit.,https://www.nssf.or.ke
Kenya,KE,KE-EVT-004,Maisha Card Unique Personal Identifier eCitizen Mandate,Registration of Persons (Maisha Namba) Regs 2024,2023-11-01,2026-01-01,digital identity,"30,000,000",General Citizens,Applying for Maisha Card digital ID via eCitizen and checking processing status.,https://ecitizen.go.ke
Kenya,KE,KE-EVT-005,KRA Tax Compliance Certificate (TCC) Renewal 2026,Tax Procedures Act 2015 / iTax 2026,2024-01-01,2026-01-01,tax,"3,000,000",Tenderers & Job Seekers,Applying for instant KRA TCC on iTax and resolving tax liability holds.,https://itax.kra.go.ke
Kenya,KE,KE-EVT-006,Turnover Tax (TOT 3%) Small Business Filing Thresholds 2026,Finance Act 2023 / Income Tax Act Sec 12C,2023-07-01,2026-01-01,SME reporting,"1,800,000",Informal & Small Merchants,Filing monthly 3% turnover tax on gross sales between KES 1M and KES 25M.,https://itax.kra.go.ke
Kenya,KE,KE-EVT-007,KRA Income Tax Return Filing Deadline (June 30) iTax Nil Returns,Tax Procedures Act Sec 52,2026-01-01,2026-06-30,income tax,"6,000,000",KRA PIN Holders,"Filing individual P9 income tax return or iTax nil return to avoid KES 2,000 fine.",https://itax.kra.go.ke
Kenya,KE,KE-EVT-008,NTSA Smart Driving License Renewal & Logbook Transfer,National Transport and Safety Authority Act,2023-05-01,2026-01-01,licensing,"3,500,000",Drivers & Car Buyers,Booking smart DL biometric capture on eCitizen and executing online vehicle ownership transfer.,https://ntsa.ecitizen.go.ke
Kenya,KE,KE-EVT-009,Nairobi Unified Business Permit Renewal eCitizen 2026,Nairobi City County Finance Act 2025,2025-12-01,2026-01-01,licensing,"400,000",Business Owners in Nairobi,"Consolidating trade license, fire safety, health, and signage permits into single payment.",https://nairobiservices.go.ke
Kenya,KE,KE-EVT-010,Property Land Rates & Land Rent ArdhiSasa Portal 2026,Sectional Properties Act 2020 / Land Act,2021-04-27,2026-01-01,property,"1,200,000",Landowners,Verifying digitized land title records and paying annual land rates online via ArdhiSasa.,https://ardhisasa.lands.go.ke
Kenya,KE,KE-EVT-011,Customs Duty & IDF/RDL Import Tax Calculator 2026,East African Community Customs Management Act,2024-07-01,2026-01-01,customs/import,"500,000",Car & Goods Importers,Calculating 25% import duty + 16% VAT + 2.5% IDF + 2% RDL on imported motor vehicles.,https://www.kra.go.ke
Kenya,KE,KE-EVT-012,Significant Economic Presence Tax (SEPT) 2026,Income Tax Act Sec 12E / Finance Act 2024,2024-07-01,2026-01-01,tax,"100,000",Non-Resident Digital Services,Filing 3% tax on gross turnover derived from provision of digital services in Kenya.,https://itax.kra.go.ke
Kenya,KE,KE-EVT-013,Kenya Statutory Minimum Wage Revision 2026,Regulation of Wages (General) Order 2024/2026,2024-05-01,2026-01-01,payroll,"2,000,000",Low-Wage Urban & Agricultural Workers,"Calculating basic minimum wage rates per sector (Nairobi KES 15,201 vs other towns).",https://labour.go.ke
Kenya,KE,KE-EVT-014,NTSA Mandatory Vehicle Inspection Online Booking 2026,Traffic Act Cap 403 / NTSA Regs 2024,2024-01-01,2026-01-01,vehicle,"1,500,000",Commercial & Private Vehicle Owners,"Booking inspection center slot and paying KES 1,000 fee on eCitizen.",https://ntsa.ecitizen.go.ke
Kenya,KE,KE-EVT-015,Capital Gains Tax (CGT 15%) Land & Share Sales 2026,Income Tax Act Sec 34 / Finance Act 2023,2023-01-01,2026-01-01,property,"250,000",Property Sellers & Investors,Filing 15% net gain CGT return on iTax prior to land transfer registration.,https://itax.kra.go.ke
Kenya,KE,KE-EVT-016,Foreign Worker Class D / Class G Work Permit eFNS 2026,Kenya Citizenship and Immigration Act,2024-01-01,2026-01-01,immigration,"80,000",Expatriates & Foreign Investors,Applying for work permit renewal on Electronic Foreign Nationals Services (eFNS) portal.,https://fns.immigration.go.ke
