country,country_code,cluster_id,search_category,primary_head_query,keyword_cluster_terms,user_search_intent,volume_type,estimated_monthly_volume,volume_confidence_level,trend_signal,seasonality_pattern,commercial_intent_score
Brazil,BR,BR-CLS-0011,SME reporting,valor das mei 2026,"tabela das mei 2026, aumento das mei salario minimo, quanto paga mei 2026 (var 1)",INFORMATIONAL_GOV,ESTIMATED_MONTHLY,132000,HIGH,SEASONAL_PEAK,JANUARY_PEAK,60
Brazil,BR,BR-CLS-0012,SME reporting,valor das mei 2026 v2,"tabela das mei 2026, aumento das mei salario minimo, quanto paga mei 2026 (var 2)",INFORMATIONAL_GOV,ESTIMATED_MONTHLY,114000,HIGH,SEASONAL_PEAK,JANUARY_PEAK,60
Brazil,BR,BR-CLS-0013,SME reporting,valor das mei 2026 v3,"tabela das mei 2026, aumento das mei salario minimo, quanto paga mei 2026 (var 3)",INFORMATIONAL_GOV,ESTIMATED_MONTHLY,96000,HIGH,SEASONAL_PEAK,JANUARY_PEAK,60
Brazil,BR,BR-CLS-0014,SME reporting,valor das mei 2026 v4,"tabela das mei 2026, aumento das mei salario minimo, quanto paga mei 2026 (var 4)",INFORMATIONAL_GOV,ESTIMATED_MONTHLY,78000,HIGH,SEASONAL_PEAK,JANUARY_PEAK,60
Brazil,BR,BR-CLS-0015,SME reporting,valor das mei 2026 v5,"tabela das mei 2026, aumento das mei salario minimo, quanto paga mei 2026 (var 5)",INFORMATIONAL_GOV,ESTIMATED_MONTHLY,60000,HIGH,SEASONAL_PEAK,JANUARY_PEAK,60
Brazil,BR,BR-CLS-0016,payroll,fgts digital como pagar pix,"esocial domestica 2026 guia, fgts digital prazos, guia fgts digital vencimento (var 1)",TRANSACTIONAL_COMPLIANCE,ESTIMATED_MONTHLY,71500,HIGH,STABLE,MONTHLY_RECURRING,50
Brazil,BR,BR-CLS-0017,payroll,fgts digital como pagar pix v2,"esocial domestica 2026 guia, fgts digital prazos, guia fgts digital vencimento (var 2)",TRANSACTIONAL_COMPLIANCE,ESTIMATED_MONTHLY,61750,HIGH,STABLE,MONTHLY_RECURRING,50
Brazil,BR,BR-CLS-0018,payroll,fgts digital como pagar pix v3,"esocial domestica 2026 guia, fgts digital prazos, guia fgts digital vencimento (var 3)",TRANSACTIONAL_COMPLIANCE,ESTIMATED_MONTHLY,52000,HIGH,STABLE,MONTHLY_RECURRING,50
Brazil,BR,BR-CLS-0019,payroll,fgts digital como pagar pix v4,"esocial domestica 2026 guia, fgts digital prazos, guia fgts digital vencimento (var 4)",TRANSACTIONAL_COMPLIANCE,ESTIMATED_MONTHLY,42250,HIGH,STABLE,MONTHLY_RECURRING,50
Brazil,BR,BR-CLS-0020,payroll,fgts digital como pagar pix v5,"esocial domestica 2026 guia, fgts digital prazos, guia fgts digital vencimento (var 5)",TRANSACTIONAL_COMPLIANCE,ESTIMATED_MONTHLY,32500,HIGH,STABLE,MONTHLY_RECURRING,50
Brazil,BR,BR-CLS-0021,digital identity,agendamento cin 2026,"documentos nova carteira identidade, emissao cin gratis, agendar carteira identidade sp (var 1)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,231000,HIGH,STABLE,EVERGREEN,30
Brazil,BR,BR-CLS-0022,digital identity,agendamento cin 2026 v2,"documentos nova carteira identidade, emissao cin gratis, agendar carteira identidade sp (var 2)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,199500,HIGH,STABLE,EVERGREEN,30
Brazil,BR,BR-CLS-0023,digital identity,agendamento cin 2026 v3,"documentos nova carteira identidade, emissao cin gratis, agendar carteira identidade sp (var 3)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,168000,HIGH,STABLE,EVERGREEN,30
Brazil,BR,BR-CLS-0024,digital identity,agendamento cin 2026 v4,"documentos nova carteira identidade, emissao cin gratis, agendar carteira identidade sp (var 4)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,136500,HIGH,STABLE,EVERGREEN,30
Brazil,BR,BR-CLS-0025,digital identity,agendamento cin 2026 v5,"documentos nova carteira identidade, emissao cin gratis, agendar carteira identidade sp (var 5)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,105000,HIGH,STABLE,EVERGREEN,30
Brazil,BR,BR-CLS-0026,income tax,consulta restituicao irpf 2026,"lotes irpf 2026, primeiro lote restituicao irpf, malha fina consulta receita federal (var 1)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,495000,HIGH,SEASONAL_PEAK,MAY_TO_SEPTEMBER,65
Brazil,BR,BR-CLS-0027,income tax,consulta restituicao irpf 2026 v2,"lotes irpf 2026, primeiro lote restituicao irpf, malha fina consulta receita federal (var 2)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,427500,HIGH,SEASONAL_PEAK,MAY_TO_SEPTEMBER,65
Brazil,BR,BR-CLS-0028,income tax,consulta restituicao irpf 2026 v3,"lotes irpf 2026, primeiro lote restituicao irpf, malha fina consulta receita federal (var 3)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,360000,HIGH,SEASONAL_PEAK,MAY_TO_SEPTEMBER,65
Brazil,BR,BR-CLS-0029,income tax,consulta restituicao irpf 2026 v4,"lotes irpf 2026, primeiro lote restituicao irpf, malha fina consulta receita federal (var 4)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,292500,HIGH,SEASONAL_PEAK,MAY_TO_SEPTEMBER,65
Brazil,BR,BR-CLS-0030,income tax,consulta restituicao irpf 2026 v5,"lotes irpf 2026, primeiro lote restituicao irpf, malha fina consulta receita federal (var 5)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,225000,HIGH,SEASONAL_PEAK,MAY_TO_SEPTEMBER,65
Brazil,BR,BR-CLS-0031,vehicle,tabela ipva 2026 sp,"desconto ipva a vista sp, calendario ipva rj 2026, parcelamento ipva mg (var 1)",INFORMATIONAL_LOCAL,ESTIMATED_MONTHLY,418000,HIGH,SEASONAL_PEAK,JANUARY_FEBRUARY,55
Brazil,BR,BR-CLS-0032,vehicle,tabela ipva 2026 sp v2,"desconto ipva a vista sp, calendario ipva rj 2026, parcelamento ipva mg (var 2)",INFORMATIONAL_LOCAL,ESTIMATED_MONTHLY,361000,HIGH,SEASONAL_PEAK,JANUARY_FEBRUARY,55
Brazil,BR,BR-CLS-0033,vehicle,tabela ipva 2026 sp v3,"desconto ipva a vista sp, calendario ipva rj 2026, parcelamento ipva mg (var 3)",INFORMATIONAL_LOCAL,ESTIMATED_MONTHLY,304000,HIGH,SEASONAL_PEAK,JANUARY_FEBRUARY,55
Brazil,BR,BR-CLS-0034,vehicle,tabela ipva 2026 sp v4,"desconto ipva a vista sp, calendario ipva rj 2026, parcelamento ipva mg (var 4)",INFORMATIONAL_LOCAL,ESTIMATED_MONTHLY,247000,HIGH,SEASONAL_PEAK,JANUARY_FEBRUARY,55
Brazil,BR,BR-CLS-0035,vehicle,tabela ipva 2026 sp v5,"desconto ipva a vista sp, calendario ipva rj 2026, parcelamento ipva mg (var 5)",INFORMATIONAL_LOCAL,ESTIMATED_MONTHLY,190000,HIGH,SEASONAL_PEAK,JANUARY_FEBRUARY,55
Brazil,BR,BR-CLS-0036,benefits,recadastramento cadunico 2026,"bolsa familia bloqueado consulta, agendamento cras cadunico, atualizar cadastro unico (var 1)",INFORMATIONAL_GOV,ESTIMATED_MONTHLY,319000,HIGH,STABLE,EVERGREEN,25
Brazil,BR,BR-CLS-0037,benefits,recadastramento cadunico 2026 v2,"bolsa familia bloqueado consulta, agendamento cras cadunico, atualizar cadastro unico (var 2)",INFORMATIONAL_GOV,ESTIMATED_MONTHLY,275500,HIGH,STABLE,EVERGREEN,25
Brazil,BR,BR-CLS-0038,benefits,recadastramento cadunico 2026 v3,"bolsa familia bloqueado consulta, agendamento cras cadunico, atualizar cadastro unico (var 3)",INFORMATIONAL_GOV,ESTIMATED_MONTHLY,232000,HIGH,STABLE,EVERGREEN,25
Brazil,BR,BR-CLS-0039,benefits,recadastramento cadunico 2026 v4,"bolsa familia bloqueado consulta, agendamento cras cadunico, atualizar cadastro unico (var 4)",INFORMATIONAL_GOV,ESTIMATED_MONTHLY,188500,HIGH,STABLE,EVERGREEN,25
Brazil,BR,BR-CLS-0040,benefits,recadastramento cadunico 2026 v5,"bolsa familia bloqueado consulta, agendamento cras cadunico, atualizar cadastro unico (var 5)",INFORMATIONAL_GOV,ESTIMATED_MONTHLY,145000,HIGH,STABLE,EVERGREEN,25
Brazil,BR,BR-CLS-0041,e-invoicing,nfe mei gratuita 2026,"como emitir nota fiscal mei, emissor nfe nacional gratuito, emissor nota fiscal facil (var 1)",TRANSACTIONAL_BUSINESS,ESTIMATED_MONTHLY,187000,HIGH,STABLE,EVERGREEN,70
Brazil,BR,BR-CLS-0042,e-invoicing,nfe mei gratuita 2026 v2,"como emitir nota fiscal mei, emissor nfe nacional gratuito, emissor nota fiscal facil (var 2)",TRANSACTIONAL_BUSINESS,ESTIMATED_MONTHLY,161500,HIGH,STABLE,EVERGREEN,70
Brazil,BR,BR-CLS-0043,e-invoicing,nfe mei gratuita 2026 v3,"como emitir nota fiscal mei, emissor nfe nacional gratuito, emissor nota fiscal facil (var 3)",TRANSACTIONAL_BUSINESS,ESTIMATED_MONTHLY,136000,HIGH,STABLE,EVERGREEN,70
Brazil,BR,BR-CLS-0044,e-invoicing,nfe mei gratuita 2026 v4,"como emitir nota fiscal mei, emissor nfe nacional gratuito, emissor nota fiscal facil (var 4)",TRANSACTIONAL_BUSINESS,ESTIMATED_MONTHLY,110500,HIGH,STABLE,EVERGREEN,70
Brazil,BR,BR-CLS-0045,e-invoicing,nfe mei gratuita 2026 v5,"como emitir nota fiscal mei, emissor nfe nacional gratuito, emissor nota fiscal facil (var 5)",TRANSACTIONAL_BUSINESS,ESTIMATED_MONTHLY,85000,HIGH,STABLE,EVERGREEN,70
Brazil,BR,BR-CLS-0046,payroll,fim da dirf 2026,"efd reinf retencoes, dirf 2026 substituição esocial, como informar retencao irpf 2026 (var 1)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,60500,HIGH,STABLE,ANNUAL_FEBRUARY,80
Brazil,BR,BR-CLS-0047,payroll,fim da dirf 2026 v2,"efd reinf retencoes, dirf 2026 substituição esocial, como informar retencao irpf 2026 (var 2)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,52250,HIGH,STABLE,ANNUAL_FEBRUARY,80
Brazil,BR,BR-CLS-0048,payroll,fim da dirf 2026 v3,"efd reinf retencoes, dirf 2026 substituição esocial, como informar retencao irpf 2026 (var 3)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,44000,HIGH,STABLE,ANNUAL_FEBRUARY,80
Brazil,BR,BR-CLS-0049,payroll,fim da dirf 2026 v4,"efd reinf retencoes, dirf 2026 substituição esocial, como informar retencao irpf 2026 (var 4)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,35750,HIGH,STABLE,ANNUAL_FEBRUARY,80
Brazil,BR,BR-CLS-0050,payroll,fim da dirf 2026 v5,"efd reinf retencoes, dirf 2026 substituição esocial, como informar retencao irpf 2026 (var 5)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,27500,HIGH,STABLE,ANNUAL_FEBRUARY,80
Mexico,MX,MX-CLS-0051,payroll,calculadora aguinaldo neto 2026,"cuanto me quitan de isr de aguinaldo 2026, exencion uma aguinaldo sat, formula aguinaldo mexico (var 1)",INFORMATIONAL_CALCULATOR,ESTIMATED_MONTHLY,154000,HIGH,SEASONAL_PEAK,NOVEMBER_DECEMBER,80
Mexico,MX,MX-CLS-0052,payroll,calculadora aguinaldo neto 2026 v2,"cuanto me quitan de isr de aguinaldo 2026, exencion uma aguinaldo sat, formula aguinaldo mexico (var 2)",INFORMATIONAL_CALCULATOR,ESTIMATED_MONTHLY,133000,HIGH,SEASONAL_PEAK,NOVEMBER_DECEMBER,80
Mexico,MX,MX-CLS-0053,payroll,calculadora aguinaldo neto 2026 v3,"cuanto me quitan de isr de aguinaldo 2026, exencion uma aguinaldo sat, formula aguinaldo mexico (var 3)",INFORMATIONAL_CALCULATOR,ESTIMATED_MONTHLY,112000,HIGH,SEASONAL_PEAK,NOVEMBER_DECEMBER,80
Mexico,MX,MX-CLS-0054,payroll,calculadora aguinaldo neto 2026 v4,"cuanto me quitan de isr de aguinaldo 2026, exencion uma aguinaldo sat, formula aguinaldo mexico (var 4)",INFORMATIONAL_CALCULATOR,ESTIMATED_MONTHLY,91000,HIGH,SEASONAL_PEAK,NOVEMBER_DECEMBER,80
Mexico,MX,MX-CLS-0055,payroll,calculadora aguinaldo neto 2026 v5,"cuanto me quitan de isr de aguinaldo 2026, exencion uma aguinaldo sat, formula aguinaldo mexico (var 5)",INFORMATIONAL_CALCULATOR,ESTIMATED_MONTHLY,70000,HIGH,SEASONAL_PEAK,NOVEMBER_DECEMBER,80
Mexico,MX,MX-CLS-0056,tax,tablas isr 2026 sat,"calculadora isr personas fisicas 2026, tarifa mensual isr 2026, recargos sat 2.07 por ciento (var 1)",INFORMATIONAL_CALCULATOR,ESTIMATED_MONTHLY,198000,HIGH,STABLE,ANNUAL_JANUARY,75
Mexico,MX,MX-CLS-0057,tax,tablas isr 2026 sat v2,"calculadora isr personas fisicas 2026, tarifa mensual isr 2026, recargos sat 2.07 por ciento (var 2)",INFORMATIONAL_CALCULATOR,ESTIMATED_MONTHLY,171000,HIGH,STABLE,ANNUAL_JANUARY,75
Mexico,MX,MX-CLS-0058,tax,tablas isr 2026 sat v3,"calculadora isr personas fisicas 2026, tarifa mensual isr 2026, recargos sat 2.07 por ciento (var 3)",INFORMATIONAL_CALCULATOR,ESTIMATED_MONTHLY,144000,HIGH,STABLE,ANNUAL_JANUARY,75
Mexico,MX,MX-CLS-0059,tax,tablas isr 2026 sat v4,"calculadora isr personas fisicas 2026, tarifa mensual isr 2026, recargos sat 2.07 por ciento (var 4)",INFORMATIONAL_CALCULATOR,ESTIMATED_MONTHLY,117000,HIGH,STABLE,ANNUAL_JANUARY,75
Mexico,MX,MX-CLS-0060,tax,tablas isr 2026 sat v5,"calculadora isr personas fisicas 2026, tarifa mensual isr 2026, recargos sat 2.07 por ciento (var 5)",INFORMATIONAL_CALCULATOR,ESTIMATED_MONTHLY,90000,HIGH,STABLE,ANNUAL_JANUARY,75
Mexico,MX,MX-CLS-0061,digital identity,curp biometrica requisitos citas 2026,"donde tramitar curp con huella, renapo citas curp, documentos curp biometrica (var 1)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,104500,HIGH,RISING_SEARCH,EVERGREEN,20
Mexico,MX,MX-CLS-0062,digital identity,curp biometrica requisitos citas 2026 v2,"donde tramitar curp con huella, renapo citas curp, documentos curp biometrica (var 2)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,90250,HIGH,RISING_SEARCH,EVERGREEN,20
Mexico,MX,MX-CLS-0063,digital identity,curp biometrica requisitos citas 2026 v3,"donde tramitar curp con huella, renapo citas curp, documentos curp biometrica (var 3)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,76000,HIGH,RISING_SEARCH,EVERGREEN,20
Mexico,MX,MX-CLS-0064,digital identity,curp biometrica requisitos citas 2026 v4,"donde tramitar curp con huella, renapo citas curp, documentos curp biometrica (var 4)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,61750,HIGH,RISING_SEARCH,EVERGREEN,20
Mexico,MX,MX-CLS-0065,digital identity,curp biometrica requisitos citas 2026 v5,"donde tramitar curp con huella, renapo citas curp, documentos curp biometrica (var 5)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,47500,HIGH,RISING_SEARCH,EVERGREEN,20
Mexico,MX,MX-CLS-0066,payroll,tabla cuotas patronales imss 2026,"salario minimo 2026 mexico imss, aumento cuota patronal cesantia, costo trabajador imss (var 1)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,60500,HIGH,STABLE,ANNUAL_JANUARY,85
Mexico,MX,MX-CLS-0067,payroll,tabla cuotas patronales imss 2026 v2,"salario minimo 2026 mexico imss, aumento cuota patronal cesantia, costo trabajador imss (var 2)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,52250,HIGH,STABLE,ANNUAL_JANUARY,85
Mexico,MX,MX-CLS-0068,payroll,tabla cuotas patronales imss 2026 v3,"salario minimo 2026 mexico imss, aumento cuota patronal cesantia, costo trabajador imss (var 3)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,44000,HIGH,STABLE,ANNUAL_JANUARY,85
Mexico,MX,MX-CLS-0069,payroll,tabla cuotas patronales imss 2026 v4,"salario minimo 2026 mexico imss, aumento cuota patronal cesantia, costo trabajador imss (var 4)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,35750,HIGH,STABLE,ANNUAL_JANUARY,85
Mexico,MX,MX-CLS-0070,payroll,tabla cuotas patronales imss 2026 v5,"salario minimo 2026 mexico imss, aumento cuota patronal cesantia, costo trabajador imss (var 5)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,27500,HIGH,STABLE,ANNUAL_JANUARY,85
Mexico,MX,MX-CLS-0071,vehicle,regularizacion autos chocolate 2026 citas repuve,"costo regularizar auto chocolate 2026, cita repuve regularizacion, requisitos titulo auto chocolate (var 1)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,93500,HIGH,STABLE,EVERGREEN,45
Mexico,MX,MX-CLS-0072,vehicle,regularizacion autos chocolate 2026 citas repuve v2,"costo regularizar auto chocolate 2026, cita repuve regularizacion, requisitos titulo auto chocolate (var 2)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,80750,HIGH,STABLE,EVERGREEN,45
Mexico,MX,MX-CLS-0073,vehicle,regularizacion autos chocolate 2026 citas repuve v3,"costo regularizar auto chocolate 2026, cita repuve regularizacion, requisitos titulo auto chocolate (var 3)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,68000,HIGH,STABLE,EVERGREEN,45
Mexico,MX,MX-CLS-0074,vehicle,regularizacion autos chocolate 2026 citas repuve v4,"costo regularizar auto chocolate 2026, cita repuve regularizacion, requisitos titulo auto chocolate (var 4)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,55250,HIGH,STABLE,EVERGREEN,45
Mexico,MX,MX-CLS-0075,vehicle,regularizacion autos chocolate 2026 citas repuve v5,"costo regularizar auto chocolate 2026, cita repuve regularizacion, requisitos titulo auto chocolate (var 5)",INFORMATIONAL_NAVIGATIONAL,ESTIMATED_MONTHLY,42500,HIGH,STABLE,EVERGREEN,45
Mexico,MX,MX-CLS-0076,SME reporting,resico personas fisicas limites 2026,"declaracion mensual resico sat, retencion 1.25 resico personas morales, como tributar en resico (var 1)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,66000,HIGH,STABLE,MONTHLY_RECURRING,75
Mexico,MX,MX-CLS-0077,SME reporting,resico personas fisicas limites 2026 v2,"declaracion mensual resico sat, retencion 1.25 resico personas morales, como tributar en resico (var 2)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,57000,HIGH,STABLE,MONTHLY_RECURRING,75
Mexico,MX,MX-CLS-0078,SME reporting,resico personas fisicas limites 2026 v3,"declaracion mensual resico sat, retencion 1.25 resico personas morales, como tributar en resico (var 3)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,48000,HIGH,STABLE,MONTHLY_RECURRING,75
Mexico,MX,MX-CLS-0079,SME reporting,resico personas fisicas limites 2026 v4,"declaracion mensual resico sat, retencion 1.25 resico personas morales, como tributar en resico (var 4)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,39000,HIGH,STABLE,MONTHLY_RECURRING,75
Mexico,MX,MX-CLS-0080,SME reporting,resico personas fisicas limites 2026 v5,"declaracion mensual resico sat, retencion 1.25 resico personas morales, como tributar en resico (var 5)",INFORMATIONAL_BUSINESS,ESTIMATED_MONTHLY,30000,HIGH,STABLE,MONTHLY_RECURRING,75
Mexico,MX,MX-CLS-0081,vehicle,calendario verificacion vehicular 2026 cdmx,"citas verificacion edomex, costo verificacion cdmx 2026, holograma 00 requisitos (var 1)",INFORMATIONAL_LOCAL,ESTIMATED_MONTHLY,121000,HIGH,SEASONAL_PEAK,BI_ANNUAL,40
Mexico,MX,MX-CLS-0082,vehicle,calendario verificacion vehicular 2026 cdmx v2,"citas verificacion edomex, costo verificacion cdmx 2026, holograma 00 requisitos (var 2)",INFORMATIONAL_LOCAL,ESTIMATED_MONTHLY,104500,HIGH,SEASONAL_PEAK,BI_ANNUAL,40
Mexico,MX,MX-CLS-0083,vehicle,calendario verificacion vehicular 2026 cdmx v3,"citas verificacion edomex, costo verificacion cdmx 2026, holograma 00 requisitos (var 3)",INFORMATIONAL_LOCAL,ESTIMATED_MONTHLY,88000,HIGH,SEASONAL_PEAK,BI_ANNUAL,40
Mexico,MX,MX-CLS-0084,vehicle,calendario verificacion vehicular 2026 cdmx v4,"citas verificacion edomex, costo verificacion cdmx 2026, holograma 00 requisitos (var 4)",INFORMATIONAL_LOCAL,ESTIMATED_MONTHLY,71500,HIGH,SEASONAL_PEAK,BI_ANNUAL,40
Mexico,MX,MX-CLS-0085,vehicle,calendario verificacion vehicular 2026 cdmx v5,"citas verificacion edomex, costo verificacion cdmx 2026, holograma 00 requisitos (var 5)",INFORMATIONAL_LOCAL,ESTIMATED_MONTHLY,55000,HIGH,SEASONAL_PEAK,BI_ANNUAL,40
Mexico,MX,MX-CLS-0086,property,descuento predial cdmx 2026,"pago predial en linea guadalajara, consulta adeudo predial monterrey, pago anticipado predial (var 1)",INFORMATIONAL_LOCAL,ESTIMATED_MONTHLY,143000,HIGH,SEASONAL_PEAK,JANUARY_FEBRUARY,50
Mexico,MX,MX-CLS-0087,property,descuento predial cdmx 2026 v2,"pago predial en linea guadalajara, consulta adeudo predial monterrey, pago anticipado predial (var 2)",INFORMATIONAL_LOCAL,ESTIMATED_MONTHLY,123500,HIGH,SEASONAL_PEAK,JANUARY_FEBRUARY,50
Mexico,MX,MX-CLS-0088,property,descuento predial cdmx 2026 v3,"pago predial en linea guadalajara, consulta adeudo predial monterrey, pago anticipado predial (var 3)",INFORMATIONAL_LOCAL,ESTIMATED_MONTHLY,104000,HIGH,SEASONAL_PEAK,JANUARY_FEBRUARY,50
Mexico,MX,MX-CLS-0089,property,descuento predial cdmx 2026 v4,"pago predial en linea guadalajara, consulta adeudo predial monterrey, pago anticipado predial (var 4)",INFORMATIONAL_LOCAL,ESTIMATED_MONTHLY,84500,HIGH,SEASONAL_PEAK,JANUARY_FEBRUARY,50
Mexico,MX,MX-CLS-0090,property,descuento predial cdmx 2026 v5,"pago predial en linea guadalajara, consulta adeudo predial monterrey, pago anticipado predial (var 5)",INFORMATIONAL_LOCAL,ESTIMATED_MONTHLY,65000,HIGH,SEASONAL_PEAK,JANUARY_FEBRUARY,50
Mexico,MX,MX-CLS-0091,income tax,devolucion de saldo a favor sat 2026,"deducciones personales sat 2026 tope, cuando regresa dinero el sat, consulta devolucion manual (var 1)",INFORMATIONAL_GOV,ESTIMATED_MONTHLY,242000,HIGH,SEASONAL_PEAK,APRIL_MAY,70
Mexico,MX,MX-CLS-0092,income tax,devolucion de saldo a favor sat 2026 v2,"deducciones personales sat 2026 tope, cuando regresa dinero el sat, consulta devolucion manual (var 2)",INFORMATIONAL_GOV,ESTIMATED_MONTHLY,209000,HIGH,SEASONAL_PEAK,APRIL_MAY,70
Mexico,MX,MX-CLS-0093,income tax,devolucion de saldo a favor sat 2026 v3,"deducciones personales sat 2026 tope, cuando regresa dinero el sat, consulta devolucion manual (var 3)",INFORMATIONAL_GOV,ESTIMATED_MONTHLY,176000,HIGH,SEASONAL_PEAK,APRIL_MAY,70
Mexico,MX,MX-CLS-0094,income tax,devolucion de saldo a favor sat 2026 v4,"deducciones personales sat 2026 tope, cuando regresa dinero el sat, consulta devolucion manual (var 4)",INFORMATIONAL_GOV,ESTIMATED_MONTHLY,143000,HIGH,SEASONAL_PEAK,APRIL_MAY,70
Mexico,MX,MX-CLS-0095,income tax,devolucion de saldo a favor sat 2026 v5,"deducciones personales sat 2026 tope, cuando regresa dinero el sat, consulta devolucion manual (var 5)",INFORMATIONAL_GOV,ESTIMATED_MONTHLY,110000,HIGH,SEASONAL_PEAK,APRIL_MAY,70
