country,country_code,language,event_name,event_category,law_or_regulation,source_url,announcement_date,effective_date,affected_population,affected_population_type,user_problem,head_query,keyword_cluster,cluster_volume,volume_type,volume_confidence,trend_signal,serp_strength,government_tool_exists,commercial_tool_exists,weak_domain_ranking,ai_overview,zero_click_risk,candidate_product,product_type,mvp_hours,monetization_primary,monetization_secondary,estimated_revenue_per_100k,organic_accessibility,event_timing,evidence_quality,red_team_result,score,status
Colombia,CO,es-CO,Reducción Jornada Laboral a 42 Horas (Ley 2101) 2026,employment,Ley 2101 de 2021,https://www.mintrabajo.gov.co,2021-07-15,2026-07-15,"10,000,000",Formal Employees & Payroll Accountants,"Calculating hourly base rate increase, overtime surcharges, and Sunday pay under 42-hour workweek",calculo hora ordinaria y recargo 2026 colombia,"reduccion jornada laboral 42 horas 2026, calculadora recargos nocturnos 42 horas",110000,ESTIMATED_MONTHLY,HIGH,RISING_SEARCH,MEDIUM,NO,NO,YES,NO,LOW,Calculadora Jornada Laboral 42 Horas,Overtime & Hourly Rate Calculator,36,Display Ads,HR Software & Legal Advisory Affiliates,$550,HIGH,IMMEDIATE,HIGH,PASSED_ALL,84,WATCH
Colombia,CO,es-CO,Reforma Tributaria 2026 & Retención en la Fuente 95 UVT,income tax,Proyecto de Ley Reforma Tributaria 2026 / Estatuto Tributario,https://www.dian.gov.co,2026-07-20,2026-01-01,"6,000,000",Salaried Workers & Independent Contractors,Calculating monthly withholding tax under new UVT $52.374 COP and progressive bracket limits,calculadora retencion en la fuente 2026 colombia,"valor uvt 2026 retencion asalariados, tabla retencion fuente dian 2026",125000,ESTIMATED_MONTHLY,HIGH,STABLE,LOW,NO,YES,YES,NO,LOW,Calculadora ReteFuente DIAN 2026,Tax Withholding Estimator,32,Display Ads,Accounting Services & Financial Tools,$600,HIGH,IMMEDIATE,HIGH,PASSED_ALL,86,VALIDATE
Colombia,CO,es-CO,Documento POS Electrónico Limite 5 UVT ($261.870 COP),e-invoicing,Resolución DIAN 000165/2023,https://www.dian.gov.co,2023-11-01,2026-01-01,"1,500,000",SME Merchants & Retailers,Verifying invoice emission obligations for transactions over 5 UVT,pos electronico 5 uvt dian 2026,"limite pos electronico uvt 2026, factura electronica obligatoria comercio",40000,ESTIMATED_MONTHLY,HIGH,STABLE,MEDIUM,NO,YES,NO,NO,LOW,Verificador POS Electrónico DIAN,SME Invoicing Compliance Tool,48,B2B POS & Billing Software Affiliates,Display Ads,$900,MEDIUM,IMMEDIATE,HIGH,KILLED_COMMERCIAL,68,DROP
Colombia,CO,es-CO,Reforma Pensional Ley 2381 Transición Colpensiones 2026,pensions,Ley 2381 de 2024,https://www.colpensiones.gov.co,2024-07-16,2026-07-01,"18,000,000",Workers & Pensioners,Simulating pension contributions under 2.3 SMMLV Colpensiones threshold vs private funds,reforma pensional colombia simulador 2026,"cuanto cotizar en colpensiones 2026, pilar contributivo ley 2381",90000,ESTIMATED_MONTHLY,HIGH,RISING_SEARCH,HIGH,YES,NO,NO,YES,HIGH,Simulador Reforma Pensional 2026,Pension Transition Calculator,40,Display Ads,Financial Planning Leads,$500,LOW,IMMEDIATE,HIGH,KILLED_GOV_TOOL,60,DROP
Colombia,CO,es-CO,Impuesto de Vehículos & Tarifas SOAT 2026,vehicle,Circular Superintendencia Financiera 2026,https://www.superfinanciera.gov.co,2025-12-28,2026-01-01,"11,000,000",Vehicle Owners,Calculating vehicle tax based on commercial value and checking mandatory SOAT rates,tarifas soat 2026 motos y carros,impuesto vehiculos bogota 2026 pago con descuento,160000,ESTIMATED_MONTHLY,HIGH,SEASONAL_PEAK,HIGH,YES,YES,NO,YES,HIGH,Calculadora SOAT e Impuesto Vehículos,Rate Lookup & Payment Portal Directory,24,Display Ads,Insurance Broker Affiliates,$400,LOW,IMMEDIATE,HIGH,KILLED_GOV_TOOL,52,DROP
Nigeria,NG,en-NG,Nigeria Tax Act 2026 & NRS Small Business CIT Exemption,tax,Nigeria Tax Act 2025 / NRS Act 2025,https://nrs.gov.ng,2025-06-26,2026-01-01,"40,000,000",SMEs & Formal Workers,"Calculating paye tax rates, small business turnover exemption under ₦100M threshold",paye tax calculator nigeria 2026,"nigeria revenue service nrs tax exemption 100m turnover, nrs tax registration guide",95000,ESTIMATED_MONTHLY,HIGH,STABLE,LOW,NO,NO,YES,NO,LOW,Nigeria Tax Act & PAYE Calculator 2026,Tax & Exemption Estimator,40,Display Ads,Accounting Software & SME Banking Leads,$450,HIGH,IMMEDIATE,HIGH,PASSED_ALL,80,WATCH
Nigeria,NG,en-NG,New Withholding Tax (WHT) Regulations 2026 NRS,tax,Withholding Tax Regulations 2024/2026,https://nrs.gov.ng,2024-07-01,2026-01-01,"5,000,000",Business Owners & Vendors,Determining deduction rate at source for supplier invoices and contract payments,wht rates in nigeria 2026 pdf,"withholding tax deduction threshold nrs, wht rate on contract nigeria",50000,ESTIMATED_MONTHLY,HIGH,STABLE,MEDIUM,NO,YES,NO,NO,LOW,WHT Deduction Rate Lookup Tool,B2B Rate Calculator & Guide,30,Display Ads,B2B Accounting Services,$500,MEDIUM,IMMEDIATE,HIGH,KILLED_COMMERCIAL,66,DROP
Nigeria,NG,en-NG,Corporate Affairs Commission (CAC) Annual Returns Compliance,mandatory registration,CAMA 2020 / CAC Compliance Notice 2026,https://www.cac.gov.ng,2025-10-01,2026-01-01,"3,500,000",Registered Companies & Business Names,"Checking CAC status (active vs inactive), calculating annual return late penalties",cac annual returns filing fee 2026,"how to change cac status from inactive to active, cac penalty fee business name",80000,ESTIMATED_MONTHLY,HIGH,STABLE,HIGH,YES,YES,NO,YES,HIGH,CAC Compliance Status & Penalty Estimator,Status Guide & Calculator,24,Display Ads,Corporate Legal Filing Affiliates,$350,LOW,IMMEDIATE,HIGH,KILLED_GOV_TOOL,54,DROP
Nigeria,NG,en-NG,"National Minimum Wage (₦70,000) Net Pay & PAYE Impact",payroll,National Minimum Wage Act 2024 / 2026 Review,https://labour.gov.ng,2024-07-29,2026-01-01,"15,000,000",Formal & Informal Workers,"Calculating net take-home salary after pension 8%, NHIA, and PAYE tax exemptions",70000 minimum wage salary structure calculator nigeria,"net pay after tax minimum wage nigeria, 70k minimum wage payslip breakdown",75000,ESTIMATED_MONTHLY,HIGH,STABLE,LOW,NO,NO,YES,NO,LOW,Nigeria Minimum Wage Net Pay Calculator,Interactive Payslip Breakdown,24,Display Ads,FinTech & Loan App Affiliates,$400,HIGH,IMMEDIATE,HIGH,PASSED_ALL,78,WATCH
Nigeria,NG,en-NG,PenCom Pension Rate Scale & 25% RSA Withdrawal Rules,pensions,Pension Reform Act 2014 / PenCom Guidelines 2026,https://www.pencom.gov.ng,2024-01-01,2026-01-01,"10,000,000",RSA Account Holders,Calculating 25% disengagement equity withdrawal eligibility and employer 10%/employee 8% split,pencom pension contribution calculator nigeria 2026,"how to withdraw 25 percent pension nigeria, rsa balance calculator",60000,ESTIMATED_MONTHLY,HIGH,STABLE,HIGH,YES,NO,NO,YES,HIGH,PenCom RSA Withdrawal & Contribution Calculator,Pension Estimator,32,Display Ads,PFA Pension Fund Leads,$450,LOW,IMMEDIATE,HIGH,KILLED_GOV_TOOL,52,DROP
Kenya,KE,en-KE,Social Health Insurance Fund (SHIF) 2.75% & Housing Levy,payroll,Social Health Insurance Act 2023 / Finance Act 2024,https://sha.go.ke,2023-11-20,2026-01-01,"5,500,000",Salaried & Self-Employed Workers,Calculating 2.75% gross salary SHIF contribution + 1.5% Housing Levy + PAYE net salary,shif deduction calculator kenya 2026,"paye calculator with shif and housing levy, taifa care shif calculator payslip",130000,ESTIMATED_MONTHLY,HIGH,STABLE,LOW,NO,YES,YES,NO,LOW,Kenya Net Payslip Calculator (SHIF + Housing Levy),Interactive Payroll Deductions Calculator,36,Display Ads,HR & Payroll Software Affiliates,$600,HIGH,IMMEDIATE,HIGH,PASSED_ALL,82,VALIDATE
Kenya,KE,en-KE,KRA eTIMS Mandatory Invoicing for SMEs & Freelancers,e-invoicing,Tax Procedures (eTIMS) Regulations 2024,https://etims.kra.go.ke,2024-01-01,2026-01-01,"2,500,000",Small Businesses & Freelancers,Generating eTIMS compliant electronic tax invoices via mobile app or portal,etims kra registration process 2026,"how to generate etims invoice on phone, kra etims for small business",110000,ESTIMATED_MONTHLY,HIGH,STABLE,HIGH,YES,YES,NO,YES,HIGH,Guia Invoicing KRA eTIMS,Step-by-Step Registration & Invoicing Guide,24,Display Ads,POS & Accounting Software Leads,$500,LOW,IMMEDIATE,HIGH,KILLED_GOV_TOOL,58,DROP
Kenya,KE,en-KE,NSSF Tier I & Tier II Pension Scales 2026,pensions,NSSF Act No. 45 of 2013 / Phase 4 Rates,https://www.nssf.or.ke,2023-02-01,2026-02-01,"4,000,000",Employers & Employees,Calculating Tier I (KES 420) and Tier II maximum contributions based on lower/upper earnings limit,nssf rates table 2026 kenya,"nssf tier 2 calculation payslip, new nssf rates calculator",70000,ESTIMATED_MONTHLY,HIGH,STABLE,MEDIUM,NO,YES,NO,NO,LOW,Calculadora NSSF Tier I/II Kenya,Pension Contribution Scale Tool,30,Display Ads,Pension Advisory Services,$450,MEDIUM,IMMEDIATE,HIGH,KILLED_COMMERCIAL,65,DROP
Kenya,KE,en-KE,Maisha Card Unique Personal Identifier eCitizen Mandate,digital identity,Registration of Persons (Maisha Namba) Regulations 2024,https://ecitizen.go.ke,2023-11-01,2026-01-01,"30,000,000",General Citizens,Applying for Maisha Card digital ID via eCitizen and checking processing status,maisha card application on ecitizen 2026,"how to check maisha namba online, ecitizen maisha card tracking",85000,ESTIMATED_MONTHLY,HIGH,STABLE,HIGH,YES,NO,NO,YES,HIGH,Portal Tracking Maisha Card eCitizen,eCitizen Portal Guide & Tracker,24,Display Ads,Cyber Cafe & Internet Services Leads,$250,LOW,IMMEDIATE,HIGH,KILLED_GOV_TOOL,50,DROP
Kenya,KE,en-KE,KRA Tax Compliance Certificate (TCC) Renewal 2026,tax,Tax Procedures Act 2015 / iTax 2026,https://itax.kra.go.ke,2024-01-01,2026-01-01,"3,000,000",Tenderers & Job Seekers,Applying for instant KRA TCC on iTax and resolving tax liability holds,how to apply for kra tcc on itax 2026,"kra tcc application status check, why kra tcc is rejected",95000,ESTIMATED_MONTHLY,HIGH,STABLE,HIGH,YES,NO,NO,YES,HIGH,KRA TCC Instant Troubleshooting Guide,iTax TCC Guide,24,Display Ads,Tax Agent Affiliates,$350,LOW,IMMEDIATE,HIGH,KILLED_GOV_TOOL,52,DROP
Morocco,MA,fr-MA,Réforme de l'Impôt sur le Revenu (IR) Loi de Finances 2025/2026,income tax,Loi de Finances 2025 / 2026,https://www.finances.gov.ma,2024-12-25,2026-01-01,"7,000,000",Salaried Employees & Auto-Entrepreneurs,"Calculating net monthly salary under new progressive IR brackets (40.000 MAD exempt limit, max 37%)",calculateur salaire net maroc 2026,"nouveau bareme ir maroc 2026, calcul impot sur le revenu dgi maroc",160000,ESTIMATED_MONTHLY,HIGH,STABLE,LOW,NO,YES,YES,NO,LOW,Calculateur Salaire Net & IR Maroc 2026,Interactive Net Salary & Tax Calculator,36,Display Ads,B2B Payroll & HR Software Ads,$700,HIGH,IMMEDIATE,HIGH,PASSED_ALL,86,VALIDATE
Morocco,MA,fr-MA,"Réforme Progressive de la TVA 2024-2026 (0%, 10%, 20%)",VAT,Loi de Finances 2024-2026,https://www.tax.gov.ma,2023-12-28,2026-01-01,"1,200,000",SMEs & Merchants,Looking up updated VAT rate classification for consumer goods and services,taux tva maroc 2026 liste produits,"exoneration tva produits de base maroc, tva 10 percent vs 20 percent maroc",45000,ESTIMATED_MONTHLY,HIGH,STABLE,MEDIUM,NO,YES,NO,NO,LOW,Annuaire Taux TVA DGI Maroc,Product Classification & Rate Finder,32,Display Ads,Accounting Software Leads,$500,MEDIUM,IMMEDIATE,HIGH,KILLED_COMMERCIAL,66,DROP
Morocco,MA,fr-MA,Auto-Entrepreneur Maroc — Cotisation CNSS & Impôt 1%-2%,SME reporting,Loi 114-13 / Décret CNSS 2025,https://www.autoentrepreneur.ma,2024-01-01,2026-01-01,"400,000",Auto-Entrepreneurs,Calculating quarterly CNSS healthcare contributions and tax liability on turnover,declaration chiffre d affaires auto entrepreneur maroc 2026,"cotisation cnss auto entrepreneur 2026, impôt auto entrepreneur simulation",70000,ESTIMATED_MONTHLY,HIGH,STABLE,HIGH,YES,YES,NO,YES,HIGH,Simulateur Impôt & CNSS Auto-Entrepreneur,Turnover & Healthcare Calculator,24,Display Ads,Bank Account Affiliates for Freelancers,$400,LOW,IMMEDIATE,HIGH,KILLED_GOV_TOOL,56,DROP
Morocco,MA,fr-MA,Vignette Automobile 2026 Tarifs DGI & TGR,vehicle,Code Général des Impôts Art. 262,https://www.vignette.ma,2025-12-15,2026-01-01,"4,500,000",Car Owners,Calculating annual vehicle tax by fiscal horsepower (CV) and fuel type (Gasoline vs Diesel),prix vignette auto maroc 2026 par puissance fiscale,"tarif vignette maroc 2026 diesel, recu paiement vignette tgr",130000,ESTIMATED_MONTHLY,HIGH,SEASONAL_PEAK,HIGH,YES,YES,NO,YES,HIGH,Calculateur Vignette Auto Maroc 2026,Fiscal HP Rate Tool & Receipt Guide,24,Display Ads,Car Insurance Affiliates,$350,LOW,IMMEDIATE,HIGH,KILLED_GOV_TOOL,50,DROP
Morocco,MA,fr-MA,Registre Social Unifié (RSU) Indice Digital & Aide Directe,benefits,Loi 72-18 / Registre Social Unifié,https://www.rsu.ma,2023-01-01,2026-01-01,"12,000,000",Low-Income Households,Consulting digital score eligibility threshold for monthly cash transfer payments,consultation indice rsu maroc 2026,"seuil eligibilite aide sociale directe rsu, rnp rsu monprofil",180000,ESTIMATED_MONTHLY,HIGH,STABLE,HIGH,YES,NO,NO,YES,HIGH,Guide Consultation Indice RSU,Eligibility Score Guide & Verification Steps,24,Display Ads,Telecom & Mobile Wallet Affiliates,$200,LOW,IMMEDIATE,HIGH,KILLED_GOV_TOOL,45,DROP
